feature_idx,token_id,shap_value
0,39,0.497965
1,40,-0.203695
2,8,0.184469
3,819,-0.983254
4,80,0.311714
5,9,0.0412817
6,71,-0.0964066
7,80,0.243036
8,9,-0.014958
9,3865,1.68083
10,15378,1.03076
11,10336,-0.571643
12,199,1.36366
13,17,0.341741
14,42,-0.778576
15,228,-0.321867
16,18,0.0237394
17,126,0.219981
18,31,0.285471
19,1327,0.00606572
20,2404,0.161421
21,95,0.117584
22,573,0.224046
23,14,-0.352756
24,70,-0.500852
25,63,-0.637097
26,416,-0.54271
27,31,0.241625
28,16769,0.111205
29,544,0.256299
30,1468,1.1385
31,18,0.0966688
32,1275,0.00292981
33,41,-0.341205
34,122,0.534222
35,1465,1.55733
36,18,0.0578046
37,145,-0.547372
38,27,0.701576
39,145,-0.543022
40,31,0.208112
41,10336,-0.570571
42,202,-0.891078
43,14,-0.367173
44,47,-0.29263
45,2228,0.604347
46,19,0.534078
47,248,0.291686
48,3522,0.839891
49,272,0.857989
50,637,-0.15493
51,31,0.18708
52,1622,-0.346332
53,770,-0.0946847
54,4,0.439027
55,5,-0.514653
56,2904,0.555165
57,98,0.321447
58,18,0.0711214
59,677,-0.643222
60,122,0.546306
61,3311,-0.15084
62,7,0.0917601
63,8,0.175528
64,158,0.598837
65,222,-0.227991
66,120,-0.26849
67,1780,1.02234
68,11,-0.0611521
69,1503,0.0899689
70,191,0.973724
71,18,0.0933769
72,2783,1.25984
73,11,-0.059068
74,209,0.392237
75,94,-0.342982
76,343,0.458751
77,18,0.0693707
78,31,0.195958
79,1893,-0.324983
80,8505,0.0759795
81,82,-0.200006
82,70,-0.499097
83,63,-0.512053
84,226,-0.533454
85,31,0.185828
86,14644,-0.604379
87,126,0.1554
88,31,0.191366
89,1039,-0.384841
90,11,-0.0797285
91,7542,-0.577024
92,14,-0.354722
93,31,0.176838
94,3237,-0.455891
95,9259,0.55517
96,2307,-0.712131
97,42,-0.483265
98,2942,-0.350206
99,23,0.154695
100,2149,-0.351335
101,138,0.289228
102,935,0.837549
103,23,0.184466
104,2627,0.173511
105,12421,-1.08832
106,14,-0.385449
107,31,0.19961
108,235,-1.31872
109,871,-0.210951
110,126,0.218726
111,31,0.180214
112,6899,0.89981
113,5027,-0.354919
114,18,0.0799434
115,57,0.436563
116,31,0.2009
117,1119,-0.21814
118,98,0.339155
119,14,-0.3212
120,31,0.19883
121,10336,-0.506503
122,42,-0.568944
123,3649,-0.834021
124,7,0.0517115
125,9658,0.876752
126,195,0.919813
127,103,-0.605251
