feature_idx,token_id,shap_value
0,2,0.0303695
1,1165,0.327797
2,4,0.672655
3,5,-0.732804
4,1092,-1.45229
5,2,0.112714
6,124,0.70552
7,19,0.754568
8,179,0.972703
9,688,0.272059
10,82,-0.314475
11,87,-0.44073
12,57,0.911683
13,503,-0.518658
14,2,0.0862275
15,76,0.791863
16,3246,1.18161
17,9,0.149873
18,1739,1.49461
19,11,-0.0747067
20,343,0.698832
21,121,1.9631
22,14,-0.418252
23,2,0.0850277
24,4,0.507982
25,1230,0.241206
26,3368,-0.057558
27,31,0.265867
28,4539,1.12075
29,3217,1.75323
30,4,0.544504
31,2228,0.894258
32,18987,0.530276
33,688,0.262414
34,4,0.507328
35,122,0.691764
36,7,0.108603
37,8,0.325004
38,135,-0.499459
39,31,0.25637
40,937,0.367588
41,1075,-0.473884
42,18,-0.0259362
43,373,-1.79263
44,18,-0.02405
45,18,-0.00519548
46,18,-0.00437285
47,2,0.0732453
48,2609,-0.6478
49,636,-0.0121512
50,509,-1.12742
51,7,0.0992289
52,2229,-0.0327291
53,18,-0.00206181
54,167,-0.433079
55,373,-1.57482
56,310,-0.617061
57,636,0.0101372
58,31,0.286464
59,1931,-1.02389
60,14603,-1.17675
61,11,-0.073749
62,31,0.296414
63,202,-0.775664
64,379,-0.259007
65,305,-0.998613
66,17357,0.0873016
67,2822,-0.487353
68,236,-0.3113
69,3694,0.164396
70,6183,-0.451443
71,254,0.457568
72,33,-0.753895
73,16810,0.695167
74,236,-0.345617
75,5148,0.179919
76,5758,0.613696
77,4735,0.608564
78,18,-0.0197988
79,254,0.432757
80,733,-0.871862
81,31,0.286018
82,875,-0.977083
83,11,-0.066351
84,21159,-0.506566
85,9,0.148245
86,16208,0.526501
87,13713,0.0152776
88,3261,-0.89701
89,1472,0.0161937
90,7,0.0958385
91,837,-0.627463
92,4,0.440329
93,4141,0.554302
94,12065,-0.550834
95,4,0.374383
96,33,-0.764331
97,53,-0.259478
98,31,0.299381
99,1088,0.453615
100,6082,1.63623
101,9,0.147908
102,3842,-0.0939597
103,11,-0.0558358
104,2492,1.38953
105,33,-0.65449
106,1112,0.292405
107,93,0.623291
108,14,-0.344876
109,44,-0.06173
110,15091,-0.620006
111,31,0.209259
112,17869,-0.967899
113,1,-0.72747
114,319,-0.0957062
115,18,0.0133292
116,220,0.159033
117,40,0.0331864
118,547,-0.692
119,70,-0.350769
120,71,-0.00143094
121,18,0.00719189
122,310,-0.571079
123,1165,0.164814
124,4,0.445903
125,5,-0.556209
126,19,0.718329
127,7,0.0923121
