feature_idx,token_id,shap_value
0,70,-0.450337
1,71,-0.091546
2,122,0.978603
3,770,-0.165447
4,4,0.68411
5,5,-0.525026
6,76,1.26242
7,47,-0.333976
8,222,-0.261918
9,331,-1.31086
10,18,0.0640605
11,2,0.196847
12,103,-0.732532
13,1888,-0.192129
14,33,-0.862129
15,12047,0.407652
16,149,-0.314144
17,57,0.846271
18,70,-0.434286
19,233,0.051447
20,416,-0.473641
21,67,-0.42445
22,115,-1.01881
23,7,0.0689231
24,76,1.0355
25,126,0.356972
26,1888,-0.245927
27,18,0.0471988
28,31,0.366612
29,1803,0.72973
30,226,-0.445012
31,1726,0.766484
32,33,-0.742337
33,700,-0.327051
34,622,1.6992
35,12154,-1.37531
36,11,-0.0892558
37,233,0.0733938
38,11,-0.11983
39,708,-0.108614
40,1529,-0.0376873
41,47,-0.312627
42,433,0.920014
43,26,-0.0130526
44,4575,0.974509
45,18,0.0458358
46,31,0.339143
47,686,1.34767
48,950,-0.894947
49,222,-0.174136
50,31,0.300678
51,476,-0.808736
52,1803,0.801328
53,103,-0.519706
54,31,0.306769
55,22073,-1.09889
56,8931,2.19408
57,33,-0.587481
58,31,0.321867
59,1036,-0.577489
60,2980,-0.322345
61,18,0.0544664
62,622,1.7633
63,631,0.616279
64,19,0.763236
65,2567,0.751255
66,11,-0.0901822
67,497,0.227548
68,4145,0.699981
69,10056,0.864248
70,135,-0.445289
71,31,0.251712
72,1803,0.844653
73,18,0.0487401
74,126,0.398166
75,1506,0.807288
76,11,-0.111926
77,2980,-0.289866
78,236,-0.224847
79,126,0.315638
80,1,-0.938635
81,145,-0.592238
82,82,-0.214148
83,544,0.288782
84,4108,0.293992
85,149,-0.221436
86,254,0.633249
87,70,-0.302121
88,41,-0.288776
89,122,0.723377
90,9,0.141705
91,2893,-0.475641
92,17615,-0.192681
93,6822,0.186131
94,33,-0.664639
95,158,0.711513
96,210,-0.371073
97,7,0.0904499
98,8,0.457391
99,9,0.132385
100,3910,-0.457542
101,222,-0.184241
102,2893,-0.599159
103,514,-0.304136
104,103,-0.52798
105,70,-0.297812
106,18,0.0693997
107,1353,0.970004
108,1,-0.826591
109,14,-0.233742
110,222,-0.184121
111,331,-1.03377
112,47,-0.250611
113,1873,-0.877803
114,82,-0.223187
115,126,0.338259
116,777,0.498966
117,103,-0.540871
118,1,-0.871858
119,7094,1.56735
120,1,-0.805583
121,33,-0.611222
122,31,0.275252
123,1,-0.873297
124,2197,-1.42824
125,18,0.0498059
126,821,0.371537
127,149,-0.249734
