feature_idx,token_id,shap_value
0,6692,3.7473
1,8630,1.64125
2,4,0.578437
3,152,-1.18183
4,4003,-0.361586
5,41,-0.326694
6,7,0.12939
7,8,0.305839
8,27570,-0.0805645
9,14,-0.351552
10,33,-0.755082
11,23,0.547647
12,579,-0.0113237
13,82,-0.281178
14,70,-0.488334
15,63,-0.47076
16,41,-0.378751
17,7810,-1.39214
18,7,0.138139
19,42,-0.502981
20,82,-0.25501
21,1615,0.843951
22,11,-0.118205
23,23,0.520799
24,3460,-0.398093
25,14,-0.285996
26,637,0.0234692
27,310,-0.417591
28,451,-0.384075
29,31,0.210937
30,255,-0.533178
31,42,-0.477209
32,370,-0.404169
33,41,-0.310171
34,4560,-1.21219
35,5638,0.824782
36,9,-0.000950759
37,2385,0.503364
38,5675,-0.317663
39,18,0.204054
40,31,0.160036
41,330,0.867107
42,2,0.228116
43,407,-0.0710686
44,88,0.190786
45,126,0.244426
46,595,-0.810949
47,1966,-0.40976
48,11,-0.105701
49,31,0.225892
50,1343,1.50985
51,14,-0.248127
52,209,0.576936
53,22995,1.01209
54,83,-0.552048
55,8367,-0.586262
56,11,-0.147792
57,3016,-1.33148
58,3065,-0.531722
59,31,0.179781
60,2838,0.897372
61,1992,0.287004
62,18,0.140404
63,73,-0.20802
64,14,-0.29608
65,91,-0.487072
66,41,-0.302703
67,47,-0.0530712
68,42,-0.551297
69,9,-0.0221244
70,3691,-1.263
71,19900,0.576559
72,13457,1.83679
73,135,-0.344127
74,9,-0.0474375
75,808,0.706037
76,12607,-1.18928
77,14,-0.229758
78,2569,-0.718764
79,16839,0.776626
80,2615,1.0987
81,8,0.24268
82,122,0.785076
83,145,-0.515049
84,3691,-1.28099
85,20857,0.68211
86,33,-0.600551
87,19900,0.572947
88,167,-0.397682
89,9,-0.0265947
90,104,-0.432736
91,3057,-0.279177
92,14,-0.273692
93,41,-0.232693
94,12838,1.84254
95,167,-0.350689
96,1007,0.873684
97,2227,0.0286174
98,376,-0.200163
99,9,0.0042891
100,4580,-0.482404
101,1948,-0.32981
102,304,-0.0183651
103,82,-0.227433
104,31,0.16434
105,6081,-1.19569
106,199,1.19226
107,33,-0.568532
108,42,-0.526068
109,1723,0.257472
110,4,0.398854
111,152,-0.833666
112,319,0.0540968
113,1537,-0.397821
114,7,0.156342
115,8,0.257677
116,80,0.30168
117,31,0.180356
118,20,0.761575
119,78,0.608397
120,347,0.107085
121,636,0.165822
122,1832,1.25144
123,80,0.24858
124,70,-0.367552
125,199,1.23055
126,946,0.711383
127,14,-0.283866
