feature_idx,token_id,shap_value
0,2,0.188133
1,21,0.6576
2,70,-0.469656
3,135,-0.558027
4,5834,-0.878205
5,15,-0.425335
6,47,-0.430886
7,3,0.947904
8,31,0.302178
9,5764,-0.0793575
10,9,0.0475846
11,697,-0.753018
12,399,-1.12984
13,18,0.0761967
14,47,-0.370975
15,18771,0.109311
16,18772,0.376101
17,126,0.318158
18,6412,-0.870038
19,19465,1.05051
20,822,-0.174849
21,18,0.117874
22,31,0.292913
23,202,-0.812987
24,41,-0.454867
25,11,-0.133641
26,9,0.0740657
27,1,-0.878031
28,496,-0.151096
29,1836,0.525254
30,6453,1.69509
31,135,-0.28322
32,1004,0.586947
33,222,-0.202292
34,31,0.257466
35,1,-0.804409
36,14,-0.379343
37,1,-0.804715
38,14,-0.370229
39,971,-0.883746
40,11,-0.124176
41,268,0.735188
42,1738,-0.57619
43,3583,0.751697
44,413,0.782527
45,1557,1.17417
46,961,-0.78218
47,3008,0.353379
48,135,-0.318056
49,31,0.224945
50,25135,1.4468
51,167,-0.345725
52,31,0.271097
53,818,1.07651
54,4,0.406665
55,152,-0.794819
56,441,0.655217
57,33,-0.619664
58,135,-0.315984
59,9,0.0448384
60,27518,1.09137
61,42,-0.33251
62,31,0.266635
63,6140,0.915903
64,1,-0.845761
65,88,0.158161
66,13190,0.460132
67,18,0.0866422
68,80,0.25626
69,499,0.613373
70,31,0.238186
71,2223,0.94527
72,41,-0.482154
73,11,-0.126142
74,31,0.262466
75,1004,0.476321
76,47,-0.308182
77,4,0.38811
78,152,-0.833135
79,18731,-0.188154
80,126,0.282192
81,2223,1.01415
82,11,-0.125185
83,31,0.200428
84,6140,1.05968
85,11415,0.374241
86,236,-0.273486
87,595,-0.750699
88,592,-0.606681
89,22577,0.231496
90,254,0.473859
91,2704,-0.853201
92,837,-0.718694
93,196,1.66311
94,14,-0.356615
95,12494,0.122436
96,6516,-0.285175
97,14,-0.332995
98,33,-0.677161
99,1963,-0.385705
100,5119,0.713952
101,9083,0.142595
102,18,0.0695529
103,70,-0.344167
104,41,-0.447264
105,3192,-0.045629
106,126,0.226726
107,9,0.0650697
108,163,0.354896
109,11,-0.14099
110,13682,1.20969
111,18734,0.637703
112,14,-0.358642
113,33,-0.565005
114,6453,1.50877
115,82,-0.196869
116,1351,-0.407069
117,270,0.623706
118,18,0.0601748
119,31,0.229231
120,1280,0.839602
121,979,-0.671273
122,41,-0.445231
123,513,-0.0412766
124,1871,-1.46725
125,18,0.101005
126,33,-0.700753
127,158,0.665291
