sample=151
orig_idx	token_id	token_str	shap_value
97	7094	/	1.23876
17	195	up	1.04196
14	1353	while	0.925608
83	303	your	0.833727
38	57	but	0.69335
5	18837	almighty	0.690693
63	731	expect	0.562326
54	6331	college	0.550069
65	158	there	0.539422
106	4817	ultimately	0.518977
77	57	but	0.518436
104	12660	expression	0.495003
26	1607	seeing	0.492143
52	23	his	0.453936
101	783	through	0.433355
119	209	which	0.415647
93	254	)	0.403277
126	9093	delivered	0.394895
95	23	his	0.375503
85	1144	teen	0.368841
92	766	long	0.332367
41	1058	slightly	0.331223
35	11121	pie	0.329335
1	31	the	0.322502
114	4	'	0.319
66	4	'	0.308311
94	16578	encourages	0.287473
107	4	'	0.268596
123	544	all	0.250393
40	88	was	0.246487
47	5621	finishes	0.230837
80	4010	tried	0.222569
84	1327	average	0.222514
117	88	was	0.221903
31	88	was	0.210402
20	2229	start	0.202585
74	5717	girls	0.202096
9	574	!	0.192032
82	107	than	0.182817
10	31	the	0.177324
124	31	the	0.176333
28	2	i	0.1754
19	31	the	0.161042
120	2	i	0.160143
111	31	the	0.152767
13	9	a	0.151921
115	31	the	0.146682
68	9	a	0.14107
34	908	america	0.134886
110	7	to	0.127578
15	7	to	0.115771
32	9	a	0.113163
46	347	who	0.1005
43	9	a	0.0974721
37	18	.	0.0901403
99	7	to	0.0878922
87	18	.	0.0758545
48	304	high	0.0750647
122	18	.	0.0740353
113	18	.	0.0683623
62	40	can	0.065668
51	445	makes	0.06223
59	18	.	0.0453188
112	641	system	0.0360826
73	4695	hot	0.0308984
56	2195	running	-0.0128635
96	1667	students	-0.0379429
18	376	from	-0.051358
81	1495	harder	-0.0533144
75	82	in	-0.0813872
100	3370	learn	-0.0872584
103	11	of	-0.0877267
90	236	(	-0.110947
70	11	of	-0.120264
109	47	it	-0.120889
0	376	from	-0.129025
24	222	for	-0.133102
78	70	this	-0.133454
23	464	least	-0.134099
39	47	it	-0.137305
45	21275	slacker	-0.140423
3	11	of	-0.14643
57	47	it	-0.148372
30	70	this	-0.1943
55	14	,	-0.200107
61	310	you	-0.203126
79	63	film	-0.208298
98	11951	peers	-0.215131
21	14	,	-0.224337
64	14	,	-0.243563
22	90	at	-0.258534
116	4617	humour	-0.259259
91	569	justin	-0.260681
29	2422	expected	-0.30062
125	181	cast	-0.314584
11	63	film	-0.320755
60	145	as	-0.337
27	145	as	-0.350668
118	20146	varied	-0.372858
105	33	and	-0.383031
8	20683	liar	-0.400338
127	284	fantastic	-0.410778
50	33	and	-0.421694
7	20683	liar	-0.425862
67	152	s	-0.427604
72	33	and	-0.460178
44	1	<unk>	-0.470789
16	1277	pick	-0.474702
49	3631	school	-0.482958
121	597	loved	-0.485461
53	981	own	-0.486056
108	1	<unk>	-0.50728
58	1	<unk>	-0.507941
12	3019	took	-0.508991
76	1	<unk>	-0.517773
4	3954	bruce	-0.53585
6	33	and	-0.539912
88	1	<unk>	-0.549284
42	1	<unk>	-0.598186
33	1	<unk>	-0.598516
89	12132	gaines	-0.619706
86	2233	flick	-0.642432
71	9535	parties	-0.648067
36	2233	flick	-0.658318
25	331	me	-0.812324
102	4490	freedom	-0.837531
69	46	lot	-0.901354
2	3243	creators	-1.00288
