sample=26
orig_idx	token_id	token_str	shap_value
7	121	scenes	2.31897
72	2591	except	2.27934
10	3196	incredibly	1.85911
30	2151	myself	1.81265
94	1343	plot	1.72098
2	268	an	1.1547
119	303	your	1.14137
120	2991	seat	0.979413
37	1781	air	0.959744
59	177	top	0.959717
82	268	an	0.926058
14	19	have	0.881829
52	268	an	0.86376
17	2315	multiple	0.846076
43	179	any	0.834672
98	19	have	0.747677
15	1065	seen	0.624181
60	1774	gun	0.596351
54	2935	flying	0.594661
108	946	second	0.580417
6	4959	flight	0.542022
126	3486	next	0.493763
104	634	entire	0.459316
97	17	not	0.443766
1	88	was	0.366595
5	126	with	0.357606
86	31	the	0.346534
124	39	what	0.346484
116	31	the	0.342886
36	31	the	0.33839
75	497	few	0.338132
87	259	whole	0.3153
103	31	the	0.298905
125	2675	happens	0.291855
12	574	!	0.267316
62	356	then	0.263443
24	1892	attention	0.234454
74	9	a	0.202506
32	9	a	0.202317
122	7	to	0.201199
99	9	a	0.191332
49	9	a	0.186406
13	2	i	0.184953
92	9	a	0.183881
41	7	to	0.179473
29	2	i	0.160239
46	2	i	0.156115
63	2	i	0.151927
31	16	am	0.14174
48	114	get	0.133052
47	40	can	0.0570213
69	71	movie	0.0508253
76	1854	mild	0.0281876
84	71	movie	0.0252714
78	1466	words	0.0243233
105	71	movie	0.020662
127	18	.	0.017666
34	10	fan	0.0133922
55	18	.	0.00944788
71	18	.	0.00819284
106	18	.	0.00674931
44	71	movie	0.000910382
89	18	.	-0.00196318
56	637	if	-0.00482062
28	18	.	-0.0266562
4	71	movie	-0.0291139
88	319	family	-0.0319933
22	162	kept	-0.0749157
51	11	of	-0.0862273
35	11	of	-0.0937262
118	11	of	-0.10954
85	222	for	-0.145708
73	222	for	-0.187006
50	4848	glimpse	-0.188306
38	3151	force	-0.203805
79	14	,	-0.215938
100	1925	dull	-0.226497
42	540	watch	-0.228488
111	3746	packed	-0.234316
109	41	is	-0.24398
61	14	,	-0.276637
3	264	awesome	-0.286607
81	41	is	-0.289723
11	60	realistic	-0.296928
68	70	this	-0.302564
96	1073	does	-0.324934
33	104	big	-0.332738
90	47	it	-0.336052
80	70	this	-0.339083
25	1872	throughout	-0.342134
9	94	were	-0.35771
91	416	has	-0.36055
115	135	on	-0.364782
102	1872	throughout	-0.3761
20	47	it	-0.386816
57	310	you	-0.40777
16	47	it	-0.427697
0	70	this	-0.445205
65	310	you	-0.447981
21	416	has	-0.45599
114	310	you	-0.457797
113	2412	keeps	-0.467923
121	782	waiting	-0.528479
18	335	times	-0.535334
58	103	like	-0.556497
64	19136	guarantee	-0.566334
66	599	will	-0.592572
8	42	that	-0.598702
23	83	my	-0.601532
107	190	every	-0.627555
101	3320	moment	-0.638735
110	137	action	-0.66074
39	33	and	-0.688179
95	33	and	-0.695244
112	33	and	-0.704827
19	33	and	-0.714081
53	1	<unk>	-0.75011
27	552	time	-0.800917
26	190	every	-0.813374
117	2990	edge	-0.813843
45	509	where	-0.894846
70	582	also	-0.929506
93	165	great	-0.940308
123	321	see	-0.987848
83	1296	excellent	-1.26373
67	820	love	-1.26871
77	2999	curse	-1.31356
40	820	love	-1.56977
