sample=14 explainer=permutation target=0 sample_size=128
detokenized_full_text: first off just to say i didn ' t get the edition i thought i would - i chose the italian version over the r2 , but what actually arrived was a uk release from <unk> - claiming to be a special edition - i never knew there was a uk dvd release - but the promised <unk> were not actually on the disc - just a couple of <unk> trailers . anyway - as to the film itself - just as i was recovering from night train murders my second <unk> mutilation thriller turns up in the same month - this time in ( an italian ) uk nubile schoolgirls are being <unk> and teacher fabio <unk> - ( unhappily ) married but nailing one of his
idx	token_id	token_str	shap_value
0	73	first	-0.3557397127151489
1	272	off	1.4605796933174133
2	122	just	3.359497457742691
3	7	to	0.05724402144551277
4	79	say	-0.5171108953654766
5	2	i	-0.11850303411483765
6	770	didn	-0.012089330703020096
7	4	'	0.33268992602825165
8	5	t	-0.3334832489490509
9	114	get	0.6320290863513947
10	31	the	0.13720065355300903
11	607	edition	0.13089846447110176
12	2	i	0.016060948371887207
13	947	thought	-0.15061917901039124
14	2	i	0.08485418558120728
15	138	would	0.2038404978811741
16	379	-	-0.09998881816864014
17	2	i	0.028677940368652344
18	8320	chose	-0.36270371451973915
19	31	the	0.10590341687202454
20	392	italian	-0.7464252077043056
21	612	version	-0.1734987385571003
22	176	over	-0.27001261711120605
23	31	the	0.05793362855911255
24	24471	r2	-0.5506960600614548
25	14	,	-0.418715238571167
26	57	but	0.2847616672515869
27	39	what	0.09875178337097168
28	1887	actually	-0.5248926281929016
29	7063	arrived	-0.356040146201849
30	88	was	0.1941671371459961
31	9	a	0.27869176864624023
32	325	uk	-0.31113268435001373
33	1228	release	-0.0021837353706359863
34	376	from	-0.058751076459884644
35	1	<unk>	-0.37264421582221985
36	379	-	-0.1730332374572754
37	10832	claiming	-0.6514996290206909
38	7	to	0.06166726350784302
39	8	be	0.28108394145965576
40	9	a	0.12308609485626221
41	1365	special	0.681491058319807
42	607	edition	0.04734337329864502
43	379	-	-0.2561485469341278
44	2	i	0.25078749656677246
45	396	never	-0.12340119481086731
46	5888	knew	0.8841434866189957
47	158	there	1.584262028336525
48	88	was	0.17186161875724792
49	9	a	0.17611727118492126
50	325	uk	-0.5619654655456543
51	493	dvd	-0.3343055844306946
52	1228	release	0.2090211808681488
53	379	-	-2.6388919949531555
54	57	but	0.46150466427206993
55	31	the	3.892887771129608
56	4141	promised	0.4435647912323475
57	1	<unk>	-0.45476233959198
58	94	were	-0.24644387885928154
59	17	not	0.3718985617160797
60	1887	actually	-0.5543399900197983
61	135	on	-0.37521612644195557
62	31	the	0.01922568678855896
63	7498	disc	-0.1755126714706421
64	379	-	-0.8266733884811401
65	122	just	0.5859150625765324
66	9	a	0.4166942834854126
67	1739	couple	2.787462592124939
68	11	of	0.05946910381317139
69	1	<unk>	-0.38731907680630684
70	511	trailers	-0.8310191631317139
71	18	.	-1.300232708454132
72	1878	anyway	0.1292012333869934
73	379	-	-0.2154110074043274
74	145	as	-0.41189608350396156
75	7	to	0.42206549644470215
76	31	the	0.3240169584751129
77	63	film	-0.7848571538925171
78	75	itself	0.7506674975156784
79	379	-	-0.1455765701830387
80	122	just	0.6452898383140564
81	145	as	-0.20946383476257324
82	2	i	0.0033589601516723633
83	88	was	0.13327741622924805
84	6349	recovering	0.2853262536227703
85	376	from	-0.048035383224487305
86	449	night	0.38222773745656013
87	3261	train	-0.48480701446533203
88	7656	murders	-0.6544938385486603
89	83	my	-4.783204108476639
90	946	second	0.6000558733940125
91	1	<unk>	-0.6759649515151978
92	13476	mutilation	0.8214134089648724
93	4738	thriller	1.2645778059959412
94	980	turns	1.773232251405716
95	195	up	0.8982120491564274
96	82	in	-0.10055947303771973
97	31	the	-0.011329680681228638
98	686	same	0.6074626445770264
99	12253	month	-0.7265727519989014
100	379	-	-0.2059919238090515
101	70	this	-0.1069776713848114
102	552	time	-0.5640205144882202
103	82	in	-0.2553046941757202
104	236	(	-0.36239054799079895
105	268	an	0.2019374668598175
106	392	italian	-0.7818142510950565
107	254	)	0.34881170466542244
108	325	uk	-0.29807838797569275
109	25928	nubile	0.07499992847442627
110	23386	schoolgirls	0.029129624366760254
111	226	are	-0.5860228538513184
112	943	being	-0.13135969638824463
113	1	<unk>	-0.562072217464447
114	33	and	-0.2259673923254013
115	3122	teacher	0.2021721601486206
116	27846	fabio	-0.8326636888086796
117	1	<unk>	-0.6079093962907791
118	379	-	-0.15500938892364502
119	236	(	-0.31805509328842163
120	4557	unhappily	0.2764713764190674
121	254	)	0.3321075811982155
122	1656	married	-2.662470817565918
123	57	but	0.6106536313891411
124	24249	nailing	-0.06379082798957825
125	233	one	0.046658456325531006
126	11	of	0.11120593547821045
127	23	his	0.16417598724365234
