sample=15
orig_idx	token_id	token_str	shap_value
60	1465	awful	1.76277
12	197	bad	1.73381
25	5403	fear	1.4877
17	1099	actress	1.46924
40	1099	actress	1.45296
86	1343	plot	1.404
5	559	such	1.39515
9	199	?	1.23658
66	183	actors	1.16298
71	622	they	1.12496
76	314	worth	1.11874
69	1591	pitiful	1.06674
101	1832	anything	1.05026
53	1317	double	0.716365
21	20	only	0.681563
49	433	looks	0.673657
95	1532	nowhere	0.630379
59	268	an	0.59548
62	7637	wig	0.589349
24	12660	expression	0.587443
81	158	there	0.542232
93	57	but	0.536121
0	39	what	0.535608
32	3395	poor	0.51202
47	206	evil	0.500134
121	206	evil	0.476171
82	4	'	0.439694
48	254	)	0.428322
75	970	even	0.421035
112	124	really	0.392489
98	4	'	0.381237
124	4	'	0.375299
2	8	be	0.356452
73	4	'	0.344693
119	4	'	0.343488
4	80	about	0.293853
122	131	or	0.242838
78	2781	described	0.236348
15	31	the	0.22242
102	80	about	0.220641
27	126	with	0.214224
42	31	the	0.208355
46	31	the	0.206203
88	31	the	0.198159
38	31	the	0.187878
64	31	the	0.186755
58	126	with	0.1858
116	31	the	0.183451
72	1165	don	0.176391
97	1165	don	0.164813
51	31	the	0.162442
91	126	with	0.158426
103	31	the	0.145891
36	18	.	0.108834
20	636	know	0.0929111
29	18	.	0.0924543
37	18	.	0.0894729
35	18	.	0.0812389
63	18	.	0.0792068
79	18	.	0.0754459
44	347	who	0.0729578
100	636	know	0.0656037
87	18	.	0.0651522
110	347	who	0.0630784
126	9	a	0.049233
31	9	a	0.036318
85	127	no	0.0338919
106	8358	11	0.026872
92	9724	possibilities	0.0268459
107	8358	11	0.016213
14	574	!	0.0143007
6	9	a	0.00817507
13	579	acting	0.00767344
43	233	one	0.00173655
22	233	one	-0.0307937
123	450	she	-0.0329576
19	7	to	-0.0366272
118	450	she	-0.0528914
105	11	of	-0.0557178
8	71	movie	-0.0624796
54	11	of	-0.0721915
68	26	so	-0.145176
1	40	can	-0.166683
16	1119	main	-0.213753
109	3682	nor	-0.220491
80	379	-	-0.228038
61	2119	red	-0.245575
10	379	-	-0.285695
57	14	,	-0.318486
33	6517	beaten	-0.321661
113	41	is	-0.350246
41	236	(	-0.367756
108	14	,	-0.369053
114	14	,	-0.372014
56	9276	osbourne	-0.374507
7	4894	pathetic	-0.38647
67	226	are	-0.404999
96	780	we	-0.411198
104	4445	meaning	-0.429094
11	67	very	-0.483075
77	943	being	-0.489086
99	5	t	-0.502016
18	210	seems	-0.502346
115	27046	excepted	-0.507394
84	1062	absolutely	-0.567523
52	1097	female	-0.595334
70	42	that	-0.610092
50	103	like	-0.62199
74	5	t	-0.636421
30	103	like	-0.691575
28	10967	weakness	-0.739102
34	5472	dog	-0.766304
90	1749	begins	-0.766934
111	1	<unk>	-0.791316
65	476	other	-0.809611
83	152	s	-0.811152
39	476	other	-0.815386
89	202	story	-0.822582
23	2584	facial	-0.825721
94	950	goes	-0.839792
125	152	s	-0.922311
120	152	s	-0.943375
3	819	said	-0.980726
55	6781	ozzy	-0.992485
117	307	simple	-1.02052
45	1454	plays	-1.16106
127	1577	child	-1.20019
26	2030	mixed	-1.3548
