sample=90
orig_idx	token_id	token_str	shap_value
113	2219	save	2.60377
36	1109	b	1.75663
110	1343	plot	1.74729
105	1343	plot	1.56284
25	303	your	1.54434
27	1619	video	1.44265
74	10288	lifeless	1.25239
39	2313	extremely	1.04884
122	2615	must	1.03074
80	20	only	0.845291
125	76	do	0.829057
26	684	local	0.813099
124	57	but	0.787026
49	20	only	0.786594
58	6637	ugly	0.784929
51	529	better	0.768859
28	1850	store	0.767199
57	268	an	0.726673
88	158	there	0.724394
109	20	only	0.722169
102	970	even	0.670123
47	98	character	0.569772
99	93	characters	0.563727
101	254	)	0.483192
60	4	'	0.481727
126	17	not	0.460791
112	17	not	0.443567
62	95	style	0.432376
23	7871	bin	0.428705
4	544	all	0.405252
0	2	i	0.3662
79	17	not	0.352762
93	1112	interesting	0.313899
40	15196	generous	0.31195
50	1058	slightly	0.303259
53	1327	average	0.299643
1	16	am	0.26165
5	31	the	0.230894
35	9	a	0.193271
44	9	a	0.192095
9	31	the	0.178075
10	4564	cover	0.174114
96	31	the	0.170028
21	31	the	0.151137
66	31	the	0.144368
108	31	the	0.136772
84	18	.	0.120671
100	18	.	0.119174
75	18	.	0.118531
103	31	the	0.111739
41	18	.	0.109965
17	18	.	0.105177
29	18	.	0.102462
22	27400	$2	0.100043
42	2437	besides	0.0954005
116	18	.	0.0874055
13	71	movie	0.0791948
67	769	script	0.0787054
30	7	to	0.0763856
37	71	movie	0.0645699
52	107	than	0.0609519
86	5506	admittedly	0.0452881
120	637	if	0.0108913
19	10325	belongs	0.00104462
54	579	acting	-0.0413065
90	5642	occasionally	-0.0448425
104	250	final	-0.0837906
11	11	of	-0.102997
6	204	good	-0.113575
68	222	for	-0.119312
91	120	some	-0.138641
20	82	in	-0.179068
118	355	diamond	-0.194813
83	4894	pathetic	-0.210227
72	1925	dull	-0.2243
87	14	,	-0.224478
18	47	it	-0.234771
98	1119	main	-0.24005
55	14	,	-0.244536
107	14	,	-0.257946
65	14	,	-0.26202
123	14	,	-0.269451
48	14	,	-0.280295
85	236	(	-0.297318
16	2559	imdb	-0.337767
78	41	is	-0.359358
71	41	is	-0.361689
89	41	is	-0.368993
38	41	is	-0.407833
7	3069	reviews	-0.408408
15	135	on	-0.408483
117	886	rent	-0.421229
82	41	is	-0.424225
34	41	is	-0.426668
119	833	men	-0.426672
76	70	this	-0.434964
121	310	you	-0.435019
77	63	film	-0.43852
114	70	this	-0.443027
115	63	film	-0.465581
12	70	this	-0.469467
69	70	this	-0.475388
24	90	at	-0.485399
8	135	on	-0.487882
33	70	this	-0.490915
32	42	that	-0.50426
70	63	film	-0.522853
64	2198	quality	-0.533405
45	2581	single	-0.567423
92	10697	mildly	-0.57397
3	167	by	-0.574123
43	2260	lacking	-0.602861
73	33	and	-0.614862
59	1311	80	-0.700853
46	16467	redeemable	-0.704692
56	33	and	-0.713927
63	495	picture	-0.726345
95	790	between	-0.779812
97	595	two	-0.796148
111	1	<unk>	-0.829796
14	33	and	-0.833357
31	79	say	-0.857709
81	1	<unk>	-0.868678
106	1	<unk>	-0.906501
61	152	s	-0.987319
94	4729	chemistry	-1.03089
127	10807	hesitate	-1.23243
2	3795	shocked	-1.41612
