sample=227
orig_idx	token_id	token_str	shap_value
17	121	scenes	1.97994
13	1343	plot	1.69206
46	622	they	1.58166
101	4738	thriller	1.54195
112	197	bad	1.40013
65	622	they	1.35843
55	2145	entirely	1.26593
116	2694	rubber	1.1428
117	6102	bats	1.04122
98	177	top	1.01785
22	27823	divers	0.961828
90	2257	madness	0.937562
51	3102	alien	0.915308
88	14876	descent	0.86596
94	2228	might	0.830029
62	529	better	0.826831
70	76	do	0.80556
74	179	any	0.749834
59	19	have	0.733333
114	57	but	0.731296
67	19	have	0.702276
118	122	just	0.702142
78	57	but	0.698206
95	19	have	0.668706
28	783	through	0.666432
79	19	have	0.6234
8	7331	underground	0.597595
6	12516	pitch	0.533647
27	421	going	0.454504
110	4	'	0.454481
53	5923	cgi	0.451347
86	4	'	0.444257
99	1460	rate	0.383327
58	138	would	0.370431
66	138	would	0.365763
96	248	been	0.344225
60	248	been	0.342584
41	3909	scenery	0.311346
48	126	with	0.300073
64	544	all	0.293692
0	2	i	0.253424
18	2	i	0.249372
30	12749	subterranean	0.237984
85	3879	jack	0.228719
77	544	all	0.213986
21	31	the	0.195569
103	1459	maybe	0.191564
56	31	the	0.186836
15	31	the	0.176125
24	31	the	0.175615
40	31	the	0.17471
42	88	was	0.162688
49	31	the	0.158878
29	2067	impossible	0.149801
57	71	movie	0.14574
107	31	the	0.134452
106	18	.	0.126843
63	18	.	0.11792
124	18	.	0.117583
39	18	.	0.117515
3	18	.	0.108844
113	18	.	0.108747
44	18	.	0.103133
97	9	a	0.0908162
14	18	.	0.0850394
10	9	a	0.0681474
108	579	acting	0.0250391
69	7	to	0.00540248
121	7	to	-0.0128606
126	0	<pad>	-0.0272318
125	0	<pad>	-0.0312878
127	0	<pad>	-0.051306
45	407	had	-0.0820754
68	407	had	-0.0920511
122	203	standard	-0.0990151
34	11	of	-0.10344
7	496	black	-0.169723
33	120	some	-0.205257
120	47	it	-0.229836
91	14	,	-0.236012
84	140	follow	-0.30649
61	228	much	-0.30857
102	14	,	-0.324231
109	463	isn	-0.326884
82	14	,	-0.330237
71	41	is	-0.331779
35	230	them	-0.336524
2	2740	agree	-0.392994
36	94	were	-0.394065
32	14	,	-0.395469
26	14	,	-0.395544
93	70	this	-0.400983
37	1039	heart	-0.402069
111	5	t	-0.413929
20	94	were	-0.42022
76	90	at	-0.435583
75	841	monsters	-0.437562
105	4845	material	-0.443361
104	7471	award	-0.444406
19	947	thought	-0.454056
73	253	show	-0.457837
89	368	into	-0.459978
25	13451	caves	-0.494288
81	3443	wondering	-0.495709
5	41	is	-0.515458
4	70	this	-0.516037
23	5520	exploring	-0.527919
72	396	never	-0.569526
83	33	and	-0.573635
115	977	those	-0.596603
92	33	and	-0.630541
9	33	and	-0.75238
119	1	<unk>	-0.797572
80	677	everyone	-0.827297
87	152	s	-0.831568
47	1	<unk>	-0.845448
54	1	<unk>	-0.857011
31	1	<unk>	-0.883607
52	1	<unk>	-0.893446
50	1	<unk>	-0.919182
43	165	great	-0.948715
38	5072	pounding	-0.989808
100	1	<unk>	-0.991119
1	712	totally	-1.08782
12	12364	worn	-1.29199
11	141	well	-1.29995
123	3314	fare	-1.62789
16	235	best	-1.77182
