sample=122
orig_idx	token_id	token_str	shap_value
9	196	case	2.36088
2	2679	stories	2.01488
123	6151	threatens	1.76669
86	609	less	1.44324
101	622	they	1.41381
48	4403	precocious	1.37117
85	207	nothing	1.3664
120	973	low	1.34665
126	272	off	1.33834
28	10987	garrison	1.15176
1	179	any	1.15033
91	27760	attendance	1.10746
25	1177	stephen	0.99452
84	731	expect	0.952398
69	1998	roles	0.943981
64	76	do	0.914876
32	6331	college	0.913372
102	3411	conform	0.889825
121	4714	grade	0.822293
104	158	there	0.765232
97	20	only	0.759126
106	268	an	0.674037
118	350	gets	0.64724
127	23	his	0.615465
38	23	his	0.597693
58	254	)	0.552127
35	1196	peter	0.492644
0	131	or	0.474444
44	8	be	0.472914
98	8	be	0.472234
45	16381	tricked	0.460091
24	126	with	0.427391
67	821	these	0.389797
21	1700	robert	0.342494
3	8074	reminiscent	0.333488
74	13685	frat	0.278407
95	14609	schools	0.257975
71	4525	basically	0.243862
109	17144	wherein	0.236613
34	18	.	0.181335
18	31	the	0.179352
63	247	should	0.174117
87	107	than	0.168475
50	18	.	0.167344
70	18	.	0.165771
43	7	to	0.163539
114	31	the	0.161858
5	31	the	0.161141
108	588	scene	0.15911
124	7	to	0.158959
72	31	the	0.153484
103	18	.	0.142334
17	18	.	0.130556
31	31	the	0.125999
47	31	the	0.120754
93	31	the	0.120428
15	71	movie	0.117054
56	5990	buried	0.0877791
77	1272	tired	0.0542262
119	9	a	0.05348
83	347	who	0.0473511
100	637	if	0.0335926
65	102	more	0.0197687
78	11	of	-0.0737027
66	11	of	-0.0888933
75	9137	buddies	-0.116643
116	487	after	-0.117207
42	6488	pretending	-0.136796
4	11	of	-0.149524
49	1667	students	-0.169414
68	3024	menacing	-0.176635
40	3817	self	-0.176786
33	1667	students	-0.195756
105	41	is	-0.235744
113	176	over	-0.235748
13	257	find	-0.245908
88	8660	academic	-0.247151
55	14	,	-0.270581
52	236	(	-0.288521
61	14	,	-0.291782
59	41	is	-0.292323
37	41	is	-0.292657
23	14	,	-0.293449
122	14	,	-0.306207
10	14	,	-0.332136
90	14	,	-0.33612
82	14	,	-0.336194
41	14	,	-0.349775
46	167	by	-0.359678
39	1893	usual	-0.359895
117	370	he	-0.394963
54	5007	companion	-0.463076
11	310	you	-0.472732
14	70	this	-0.480772
81	4150	parents	-0.483258
92	90	at	-0.517219
6	3254	leopold	-0.517864
96	599	will	-0.518301
80	16662	demanding	-0.51944
19	181	cast	-0.519876
125	251	cut	-0.528233
79	837	their	-0.546747
12	601	may	-0.551923
30	145	as	-0.595631
27	33	and	-0.605259
110	15234	culp	-0.620246
62	33	and	-0.646597
36	14713	falk	-0.660825
22	15234	culp	-0.680845
7	33	and	-0.692563
111	1	<unk>	-0.727082
99	1	<unk>	-0.759446
73	595	two	-0.76873
51	1	<unk>	-0.806495
115	1	<unk>	-0.827121
29	1	<unk>	-0.848718
53	1	<unk>	-0.900876
112	1	<unk>	-0.928518
76	1395	become	-0.995519
26	1	<unk>	-1.04052
8	1	<unk>	-1.0554
107	1296	excellent	-1.14277
89	11641	perfection	-1.17011
16	2172	entertaining	-1.19807
60	1296	excellent	-1.25275
57	6406	alive	-1.31647
94	235	best	-1.51682
20	6740	includes	-1.77373
