feature_idx,token_id,shap_value
0,726,-0.156614
1,331,-1.24099
2,4533,0.3848
3,310,-0.39045
4,9,0.234049
5,202,-0.860092
6,18,-0.00948754
7,233,0.0926147
8,3138,-0.207526
9,135,-0.319181
10,31,0.336427
11,7700,0.338727
12,11,-0.125849
13,1,-0.578466
14,9,0.256903
15,63,-0.318362
16,404,0.0603542
17,27036,-0.253928
18,368,-0.561896
19,9,0.230071
20,3163,1.10837
21,10231,0.247791
22,33,-0.551289
23,1159,-0.181488
24,42,-0.306377
25,31,0.288397
26,289,-0.680976
27,122,0.690151
28,407,0.104952
29,7,0.155904
30,636,0.02931
31,23,0.430856
32,202,-0.758568
33,15,-0.0490929
34,18,0.00553088
35,18,-3.66317e-05
36,18,0.0183136
37,310,-0.30977
38,636,0.0556853
39,18,0.00838916
40,18,-0.018949
41,18,0.0115691
42,370,-0.325402
43,4,0.413421
44,152,-0.508212
45,657,0.353416
46,18,0.0259754
47,18,-0.00773242
48,18,-0.00117454
49,33,-0.496967
50,370,-0.312127
51,650,0.532939
52,23,0.481656
53,15550,-1.18432
54,272,1.17215
55,9,0.181291
56,46,-1.11691
57,33,-0.501625
58,18,-0.020169
59,18,-0.0181119
60,18,-0.0177279
61,26,0.0910551
62,135,-0.325811
63,18,-0.014894
64,70,-0.168636
65,63,-0.298869
66,41,-0.237485
67,31,0.230235
68,1091,0.192927
69,11,-0.0904701
70,23,0.509973
71,7424,-0.26741
72,18,-0.017092
73,13788,-0.0332221
74,14,-0.27712
75,1,-0.466383
76,14,-0.254657
77,21358,-0.367888
78,14,-0.227773
79,24582,-0.312153
80,18,-0.0143443
81,18,0.0181555
82,18,-0.0093665
83,57,0.583631
84,11,-0.0734287
85,440,-0.0736926
86,3430,-0.498234
87,126,0.28053
88,513,0.103076
89,198,0.714715
90,126,0.33974
91,837,-0.325281
92,1,-0.511951
93,3055,0.271043
94,18,0.00160643
95,637,0.0547731
96,70,-0.160689
97,41,-0.18502
98,303,1.10526
99,1116,0.735583
100,11,-0.111675
101,9,0.19001
102,204,0.117634
103,63,-0.266921
104,356,0.242669
105,547,-0.327342
106,14,-0.199296
107,637,0.0603305
108,17,0.438733
109,1424,0.215788
110,47,-0.275891
111,103,-0.29185
112,31,0.30641
113,2645,-0.536308
114,18,0.00588486
115,47,-0.221587
116,4,0.436356
117,152,-0.424357
118,358,0.319981
119,331,-0.766197
120,272,1.11839
121,1394,0.077543
122,421,0.593656
123,7,0.159914
124,16522,0.811462
125,42,-0.236326
126,4,0.491028
127,152,-0.5632
