feature_idx,token_id,shap_value
0,200,-0.00823664
1,47,-0.433067
2,4,0.606762
3,152,-1.11398
4,9,0.0428444
5,1483,1.37952
6,335,-0.607874
7,6634,-1.6341
8,14,-0.363799
9,57,0.958189
10,47,-0.246775
11,4,0.433903
12,152,-1.02102
13,685,-0.705223
14,787,-1.0754
15,1313,-0.0583508
16,18,0.102872
17,120,-0.121109
18,11,-0.184333
19,31,0.192903
20,1525,-0.0205932
21,578,-0.516534
22,226,-0.432599
23,124,0.617262
24,343,0.717709
25,18,0.120612
26,31,0.282593
27,588,0.264591
28,700,-0.307944
29,31,0.226207
30,1430,1.08057
31,198,0.903427
32,4430,0.312316
33,31,0.214152
34,10542,-0.715666
35,2306,-0.500267
36,41,-0.365593
37,3815,-2.11155
38,14,-0.287054
39,126,0.280631
40,9,0.0273183
41,115,-0.854174
42,8602,-0.890611
43,1125,-0.714558
44,82,-0.255468
45,31,0.185255
46,2114,2.38534
47,18,0.109214
48,31,0.216779
49,6801,-1.63831
50,700,-0.241585
51,708,-0.207285
52,7188,0.113763
53,441,0.711864
54,386,-1.33162
55,667,0.0227035
56,41,-0.418977
57,9,0.0261774
58,23339,0.928927
59,18,0.0899943
60,31,0.227041
61,198,0.925023
62,4,0.50683
63,6127,0.897454
64,82,-0.249598
65,2460,-0.0219544
66,126,0.292821
67,5828,0.379442
68,226,-0.325058
69,343,0.656474
70,145,-0.570878
71,141,-1.16954
72,700,-0.314453
73,622,1.51993
74,589,-0.677212
75,7,0.107967
76,6156,-0.840957
77,230,-0.2912
78,33,-0.696766
79,700,-0.181041
80,622,1.75767
81,4430,0.215361
82,31,0.2325
83,1,-0.747387
84,18,0.123253
85,31,0.199562
86,3524,1.3405
87,588,0.266951
88,41,-0.373913
89,9,0.0437794
90,1483,1.13031
91,335,-0.412173
92,8037,-0.938651
93,175,1.15364
94,14,-0.26061
95,57,0.70056
96,47,-0.208317
97,1073,-0.234737
98,76,0.905487
99,9,0.0268873
100,204,0.0242592
101,875,-0.759214
102,11,-0.150397
103,11276,-0.680037
104,31,0.212397
105,10409,1.33654
106,11,-0.140689
107,31,0.20093
108,902,-0.56515
109,18,0.103964
110,310,-0.430936
111,124,0.553179
112,101,0.108406
113,222,-0.0844027
114,39,0.396199
115,4970,-0.725505
116,41,-0.369859
117,421,0.512171
118,783,0.760317
119,14,-0.265172
120,33,-0.669278
121,222,-0.0951972
122,1245,0.353091
123,82,-0.208534
124,23,0.734787
125,4657,1.42615
126,1,-0.875767
127,222,-0.109864
