token_id	token_str	shap
28350	sava	0.0390673503279686
4430	##ah	0.010211862889783723
2852	dr	0.005928777424352509
9129	bunch	0.004170329709138189
2190	best	0.004064942310963359
2387	saw	0.003104965867740767
2428	really	0.00262890915785517
2143	film	0.002376958727836609
2005	for	0.0020001823348658426
3185	movie	0.0018637675259794509
2105	around	0.0018306920038802283
2228	think	0.0016476506633417948
2034	first	0.0015158836862870625
2532	##na	0.001234091552240508
1012	.	0.0011075631316219056
1996	the	0.0010572815580027445
1996	the	0.0010528588401419775
3240	##ey	0.0009691457131079265
2017	you	0.0009525093649114881
1056	t	0.0007460058799811772
2017	you	0.0005924573966435023
1996	the	0.0005061325750180653
2003	is	0.00043317915073462894
1005	'	0.00041676871478557587
1005	'	0.0003434249332972935
6495	credits	0.0001342184841632843
101	[CLS]	0.00011860978390489305
2782	festival	9.961452867303575e-05
2043	when	5.920843354293278e-05
102	[SEP]	-2.786836453846523e-05
2222	ll	-4.182516464165279e-05
999	!	-0.00019527945135320936
999	!	-0.00020973810127803257
2057	we	-0.000211005232163838
1996	the	-0.00046696726764951436
2245	thought	-0.0005902498960494995
2050	##a	-0.0009114210094724383
2123	don	-0.0009365156292915344
2058	over	-0.0012123310672385351
1998	and	-0.0013746023178100586
3335	miss	-0.001433404694710459
1037	a	-0.0015509376036269324
2428	really	-0.0018079496387924468
2017	you	-0.001809434433068548
1010	,	-0.0020628300096307483
2001	was	-0.002105103273476873
2003	is	-0.002225492681775774
2012	at	-0.0023555627890995572
2079	do	-0.0026364345103502274
2023	this	-0.002664439646261079
2009	it	-0.0027869540665830883
1997	of	-0.002787461504340172
2644	stop	-0.0029318793011563165
1996	the	-0.002978656440973282
8348	marvel	-0.003027750179171562
3185	movie	-0.0036161188036203384
2242	something	-0.004352992932711329
2030	or	-0.004597561966095652
3666	watching	-0.004679977095552853
1997	of	-0.005545328238180706
3649	whatever	-0.005685113902602877
14108	batch	-0.007869689858385496
6865	hang	-0.01538221990423543
13351	weber	-0.01794399693608284
